,source_dataset,target_model,target_dataset,target_balancing,target_adv_training,baseline_f1
340,google,resnet,bing,20/80,gaussian,0.88705236
341,google,resnet,bing,30/70,gaussian,0.9118774
342,google,resnet,bing,40/60,gaussian,0.9221032
343,google,resnet,bing,50/50,gaussian,0.93068296
344,google,vgg,bing,20/80,gaussian,0.8964553
345,google,vgg,bing,30/70,gaussian,0.91411936
346,google,vgg,bing,40/60,gaussian,0.92161757
347,google,vgg,bing,50/50,gaussian,0.913402
348,google,alexnet,google,20/80,gaussian,0.8410302
349,google,alexnet,google,30/70,gaussian,0.86192465
350,google,alexnet,google,40/60,gaussian,0.8742107
351,google,alexnet,google,50/50,gaussian,0.8676923
352,google,resnet,google,20/80,gaussian,0.873277
353,google,resnet,google,30/70,gaussian,0.91254747
354,google,resnet,google,40/60,gaussian,0.9262214
355,google,resnet,google,50/50,gaussian,0.9247968
356,google,vgg,google,20/80,gaussian,0.9018148
357,google,vgg,google,30/70,gaussian,0.9280156
358,google,vgg,google,40/60,gaussian,0.93306696
359,google,vgg,google,50/50,gaussian,0.9247312
360,google,alexnet,bing,20/80,nonMath,0.81357354
361,google,alexnet,bing,30/70,nonMath,0.83445495
362,google,alexnet,bing,40/60,nonMath,0.8653022
363,google,alexnet,bing,50/50,nonMath,0.86716795
364,google,resnet,bing,20/80,nonMath,0.8900046
365,google,resnet,bing,30/70,nonMath,0.9128788
366,google,resnet,bing,40/60,nonMath,0.92857146
367,google,resnet,bing,50/50,nonMath,0.9104399
368,google,vgg,bing,20/80,nonMath,0.89257723
369,google,vgg,bing,30/70,nonMath,0.9123143
370,google,vgg,bing,40/60,nonMath,0.92092097
371,google,vgg,bing,50/50,nonMath,0.9159751
372,google,alexnet,google,20/80,nonMath,0.813159
373,google,alexnet,google,30/70,nonMath,0.8643911
374,google,alexnet,google,40/60,nonMath,0.8750613
375,google,alexnet,google,50/50,nonMath,0.8763468
376,google,resnet,google,20/80,nonMath,0.88533574
377,google,resnet,google,30/70,nonMath,0.9186047
378,google,resnet,google,40/60,nonMath,0.9241658
379,google,resnet,google,50/50,nonMath,0.92411643
380,google,vgg,google,20/80,nonMath,0.8887876
381,google,vgg,google,30/70,nonMath,0.92217326
382,google,vgg,google,40/60,nonMath,0.9245569
383,google,vgg,google,50/50,nonMath,0.92363256
384,google,alexnet,bing,20/80,saltPepper,0.8177215
385,google,alexnet,bing,30/70,saltPepper,0.84732145
386,google,alexnet,bing,40/60,saltPepper,0.8670137
387,google,alexnet,bing,50/50,saltPepper,0.8574359
388,google,resnet,bing,20/80,saltPepper,0.8920533
389,google,resnet,bing,30/70,saltPepper,0.91073984
390,google,resnet,bing,40/60,saltPepper,0.91862744
391,google,resnet,bing,50/50,saltPepper,0.9233113
392,google,vgg,bing,20/80,saltPepper,0.89383405
393,google,vgg,bing,30/70,saltPepper,0.9174312
394,google,vgg,bing,40/60,saltPepper,0.9217822
395,google,vgg,bing,50/50,saltPepper,0.9151671
396,google,alexnet,google,20/80,saltPepper,0.83902013
397,google,alexnet,google,30/70,saltPepper,0.8529946
398,google,alexnet,google,40/60,saltPepper,0.8713163
399,google,alexnet,google,50/50,saltPepper,0.8697001
400,google,resnet,google,20/80,saltPepper,0.88442206
401,google,resnet,google,30/70,saltPepper,0.92255884
402,google,resnet,google,40/60,saltPepper,0.93379796
403,google,resnet,google,50/50,saltPepper,0.93156284
404,google,vgg,google,20/80,saltPepper,0.9036482
405,google,vgg,google,30/70,saltPepper,0.9228515
406,google,vgg,google,40/60,saltPepper,0.92932326
407,google,vgg,google,50/50,saltPepper,0.92864424
408,google,alexnet,bing,20/80,surrogate,0.82362944
409,google,alexnet,bing,30/70,surrogate,0.830796
410,google,alexnet,bing,40/60,surrogate,0.8580858
411,google,alexnet,bing,50/50,surrogate,0.85812134
412,google,resnet,bing,20/80,surrogate,0.88960445
413,google,resnet,bing,30/70,surrogate,0.9123143
414,google,resnet,bing,40/60,surrogate,0.91772777
415,google,resnet,bing,50/50,surrogate,0.9180493
416,google,vgg,bing,20/80,surrogate,0.8965193
417,google,vgg,bing,30/70,surrogate,0.9193391
418,google,vgg,bing,40/60,surrogate,0.9138276
419,google,vgg,bing,50/50,surrogate,0.9117043
